§§,NAME,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/10/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/11/24,,,,,0,"T,,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/12/24,,,,,0.57,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/13/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/14/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/15/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/16/24,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/1/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/2/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/3/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/5/24,2,",,N",1.13,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/6/24,,,,,0.06,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/7/24,,,,,0.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/8/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/9/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/10/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/11/24,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/12/24,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/13/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/14/24,,,,,0.13,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/15/24,,,,,0.72,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/16/24,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/17/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/18/24,,,,,1.61,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/19/24,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/25/24,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/26/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/27/24,,,,,0.63,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/28/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/29/24,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/30/24,,,,,0.67,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/31/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/1/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/2/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/3/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/4/24,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/5/24,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/6/24,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/7/24,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/8/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/9/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/10/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/11/24,,,,,0.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/15/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/16/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/17/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/18/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/19/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/20/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/21/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/22/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/23/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/24/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/25/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/26/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/27/24,,,,,0.65,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/28/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/29/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",6/30/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/1/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/2/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/3/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/4/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/5/24,,,,,1,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/6/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/7/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/8/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/9/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/10/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/11/24,,,,,0.06,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/12/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/13/24,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/14/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/15/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/16/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/17/24,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/18/24,,,,,0.24,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/19/24,,,,,0.1,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/20/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/21/24,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/22/24,,,,,1.83,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/23/24,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/24/24,,,,,1.18,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/25/24,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/30/24,,,,,0.16,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",7/31/24,,,,,0.11,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/1/24,,,,,0,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/2/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/3/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/4/24,,,,,0.06,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/5/24,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/6/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/7/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/8/24,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/9/24,,,,,3.55,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/18/24,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/20/24,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/21/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/22/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/23/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/24/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/25/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/26/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/27/24,,,,,0.66,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/28/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/29/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/30/24,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",8/31/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/1/24,,,,,0.9,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/2/24,,,,,0.13,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/3/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/4/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/5/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/6/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/7/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/8/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/9/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/10/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/11/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/12/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/13/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/14/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/15/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/16/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/17/24,,,,,0.1,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/18/24,,,,,2.71,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/19/24,,,,,0.27,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/20/24,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/25/24,5,",,N",1,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/26/24,,,,,3.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/27/24,,,,,0.09,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/28/24,,,,,0.83,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/29/24,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",9/30/24,,,,,1.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",10/1/24,,,,,2.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",10/2/24,,,,,0.28,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",10/3/24,,,,,0.11,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",10/4/24,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/7/24,34,",L,N",0,",L,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/8/24,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/9/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/10/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/11/24,,,,,0.09,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/12/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/13/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/14/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/15/24,,,,,0.89,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/20/24,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/28/24,8,",,N",0,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",11/29/24,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/9/24,10,",,N",0,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/10/24,,,,,0.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/11/24,,,,,0.3,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/15/24,4,",,N",0,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/16/24,,,,,0.46,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/17/24,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/18/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/19/24,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",12/20/24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",1/31/25,,,,,0.15,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/1/25,,,,,0.63,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/2/25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/3/25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/4/25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/5/25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/6/25,,,,,0.83,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/7/25,,,,,0.53,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2/16/25,,,,,0.84,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",3/17/25,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/1/25,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/7/25,,,,,0.8,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/8/25,,,,,0.5,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/11/25,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",4/26/25,,,,,0.17,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/13/25,,,,,0.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/14/25,,,,,2.82,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/15/25,,,,,0.33,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/16/25,,,,,0.3,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/17/25,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/21/25,,,,,0.49,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/22/25,,,,,0.34,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",5/28/25,,,,,1.65,",,N",,,,
